"OldName","NewName","Folder","Description","Candidate","Line"
"Dette HPP M-1","Dette hors passages en perte du mois précédent","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. La comparaison se fait avec le mois précédent.","False","3777"
"Soldem_ca_operation_+ yc PP","Dette positive avec passages en perte","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","1169"
"Soldem_ca_operation_+_Partis","Dette positive des locataires partis","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","2045"
"Soldem_ca_operation_+_Present","Dette positive des locataires présents","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","639"
"Soldem1_ca_operation_+","Dette positive du mois précédent","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. La comparaison se fait avec le mois précédent.","False","183"
"Soldem_ca_operation_+ hpp","Dette positive hors passages en perte","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","212"
"Dette présents","Dette présents","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","1961"
"MoisDecembrePrecedent","Mois de décembre précédent","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","2111"
"€ Dette YTD","Montant Dette cumul annuel","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. La comparaison se fait avec la même période de l'année précédente.","False","3425"
"€ Dette M1","Montant Dette mois précédent","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. La comparaison se fait avec le mois précédent.","False","3489"
"MontantTotal3*Dette_SUMX","Montant total des dettes élevées","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","925"
"NombreCodeCADistinctsAvec3*Dette","Nombre de contrats avec dette élevée","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","909"
"Nb Foyers en impayé","Nombre de Foyers en impayé","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","1680"
"Nb ménage en impayé","Nombre de ménages en impayé","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","889"
"Nombre endetté","Nombre endetté","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","2797"
"€ PP","Passages en perte","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution.","False","3431"
"€ PP YTD","Passages en perte cumulés annuels","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. La comparaison se fait avec la même période de l'année précédente.","False","3437"
"CumulPassagesEnPerteAnnuel","Passages en perte cumulés annuels historique","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution.","False","224"
"% Croissance annuelle","Taux de croissance annuel","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. Le résultat est cumulé depuis le début de l'année.","False","2132"
"% Croissance annuelle Dette","Taux de croissance annuelle de la dette","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. Le résultat est cumulé depuis le début de l'année.","False","3738"
"% croissance_soldem_ca_operation_+_uniquement positif","Taux de croissance de la dette positive","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","2612"
"% Croissance dette M","Taux de croissance mensuelle de la dette","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","3733"
"% croissance_soldem_ca_operation_+","Taux de variation de la dette positive","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","220"
"€ Croissance annuelle Dette","Variation annuelle de la dette","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. Le résultat est cumulé depuis le début de l'année.","False","3469"
"CroissanceSoldem_CA_Operation_YTD","Variation de dette cumulée annuelle","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. Le résultat est cumulé depuis le début de l'année.","False","317"
"€ Croissance Dette","Variation mensuelle de la dette","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. La comparaison se fait avec le mois précédent.","False","3493"
"€ Croissance soldem_ca_operation","Variation mensuelle de la dette historique","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","284"
"CumulQuittancementsAnnuel","Cumul Quittancements Annuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","1337"
"Encaissement + alloc","Encaissement avec allocations","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","885"
"Encaissement + AL","Encaissement avec allocations logement","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1974"
"Encaissements + AL cumulés","Encaissements avec allocations logement cumulés","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1846"
"€ Quittancement M-1","Montant Quittancement mois précédent","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","3879"
"NbCA_AL","Nombre de contrats avec allocation logement","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","838"
"Nombre de ménages AL","Nombre de ménages AL","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","1258"
"Quittancé YTD m1","Quittancé cumul annuel mois précédent","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","2478"
"€ Quittancement","Quittancement","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","3460"
"€ Quittancement YTD","Quittancement cumulé annuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec la même période de l'année précédente.","False","3464"
"CumulQuitm_CA_Operation_YTD","Quittancement cumulé annuel historique","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. Le résultat est cumulé depuis le début de l'année.","False","359"
"Quittancement hors AL (M-1)","Quittancement hors AL (mois précédent)","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","2158"
"€ Quittancement YTD Logement","Quittancement logements cumulé annuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec la même période de l'année précédente.","False","3601"
"€ Quittancement logements et commerces YTD","Quittancement logements et commerces cumulé annuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec la même période de l'année précédente.","False","3817"
"€ Quittancement logements et commerces M","Quittancement logements et commerces mensuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","3812"
"Quittancement Logements M","Quittancement logements mensuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","3611"
"€ Quitm_ca_operation","Quittancement mensuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","309"
"Quittancement_m1_Crediteurs","Quittancement mois précédent Crediteurs","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","2405"
"Quittancement_m1_Débiteurs","Quittancement mois précédent Débiteurs","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","2376"
"Quittancement_m1_Soldés","Quittancement mois précédent Soldés","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","2432"
"Quittancement_m1_Total","Quittancement mois précédent Total","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","2459"
"Quittancement_m1_Total_Cumule_Annuel","Quittancement mois précédent Total Cumule Annuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","2538"
"Règlements","Règlements","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","1491"
"Règlements HPP","Règlements hors passages en perte","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","2147"
"Règlements HPP M-12","Règlements hors passages en perte douze mois avant","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","2188"
"Règlements HPP M-1","Règlements hors passages en perte mois précédent","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","2176"
"Règlements locataires","Règlements locataires","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","2136"
"Tx Croissance M-12 (%)","Taux de croissance douze mois avant","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec le mois précédent.","False","2218"
"Tx Croissance M-1 (%)","Taux de croissance du mois précédent","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec le mois précédent.","False","2204"
"Taux Règlements HPP CB M","Taux de règlements CB mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","2359"
"Taux Règlements HPP Espèces M","Taux de règlements en espèces mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","2274"
"Taux Règlements HPP IBAN M","Taux de règlements IBAN mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","2291"
"Taux Règlements HPP Chèque M","Taux de règlements par chèque mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","2342"
"Taux Règlements HPP Prélèvements M","Taux de règlements par prélèvement mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","2308"
"Taux Règlements HPP Virements M","Taux de règlements par virement mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","2325"
"Taux d'encaissement YTD DTP Corrigé","Taux d'encaissement cumul annuel DTP Corrigé","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. Le résultat est cumulé depuis le début de l'année.","False","2596"
"Taux Encaissement YTD","Taux d'encaissement cumulé annuel","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. Le résultat est cumulé depuis le début de l'année.","False","3479"
"% Taux Encaissement YTD LY","Taux d'encaissement cumulé annuel année précédente","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec la même période de l'année précédente.","False","3525"
"% Taux Encaissement YTD M-1","Taux d'encaissement cumulé annuel du mois précédent","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec le mois précédent.","False","4028"
"tx encaissement YTD","Taux d'encaissement cumulé annuel historique","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. Le résultat est cumulé depuis le début de l'année.","False","365"
"Tx Encaissement hpp soldes_ca_operation","Taux d'encaissement hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","313"
"% Taux Encaissement Mensuel","Taux d'encaissement mensuel","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","3515"
"% Taux Encaissement Mensuel LY","Taux d'encaissement mensuel année précédente","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec la même période de l'année précédente.","False","3530"
"Taux d'encaissement mensuel DTP Corrigé","Taux d'encaissement mensuel DTP Corrigé","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","2600"
"Tx Encaissement YTD N-1","Taux Encaissement cumul annuel année précédente","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec la même période de l'année précédente.","False","1208"
"tx encaissement YTD recalculé","Taux encaissement cumul annuel recalculé","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. Le résultat est cumulé depuis le début de l'année.","False","1367"
"Taux RALI YTD","Taux RALI cumul annuel","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. Le résultat est cumulé depuis le début de l'année.","False","2608"
"Taux RALI mensuel","Taux RALI mensuel","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","2604"
"Structures collectives","Structures collectives","Indicateurs généraux","Indicateur métier utilisé pour le pilotage.","False","1796"
"obj_2024_dette","Objectif 2024 de dette","Objectifs","Sert à comparer un résultat à un objectif de pilotage. Le résultat est cumulé depuis le début de l'année.","False","1006"
"obj_2024-vacancefi","Objectif 2024 de vacance financière","Objectifs","Sert à comparer un résultat à un objectif de pilotage. Le résultat est cumulé depuis le début de l'année.","False","1010"
"Objectif Plafond Annuel Dette Loc","Objectif annuel de dette locataires","Objectifs","Sert à comparer un résultat à un objectif de pilotage.","False","369"
"Obj_entrees_salaries","Objectif d'entrées de salariés","Objectifs","Sert à comparer un résultat à un objectif de pilotage.","False","1060"
"objectif intéressement tx encaissement","Objectif intéressement Taux encaissement","Objectifs","Sert à comparer un résultat à un objectif de pilotage.","False","1068"
"objectif intéressement tx vac fi com lgt","Objectif intéressement Taux vacance financière commerces logements","Objectifs","Sert à comparer un résultat à un objectif de pilotage.","False","1072"
"Objectif_Total_Dette","Objectif total de dette","Objectifs","Sert à comparer un résultat à un objectif de pilotage. Le résultat est cumulé depuis le début de l'année.","False","1014"
"Objectif_Total_Vacance","Objectif total de vacance","Objectifs","Sert à comparer un résultat à un objectif de pilotage. Le résultat est cumulé depuis le début de l'année.","False","1037"
"Plafond_mutation","Plafond mutation","Objectifs","Sert à comparer un résultat à un objectif de pilotage.","False","2816"
"Ratio intéressement encaissement","Ratio intéressement encaissement","Objectifs","Sert à comparer un résultat à un objectif de pilotage. Le résultat est cumulé depuis le début de l'année.","False","1076"
"Ratio intéressement vac fi com","Ratio intéressement vacance financière commerces","Objectifs","Sert à comparer un résultat à un objectif de pilotage. Le résultat est cumulé depuis le début de l'année.","False","1080"
"Ratio mutation","Ratio mutation","Objectifs","Sert à comparer un résultat à un objectif de pilotage. Le résultat est cumulé depuis le début de l'année.","False","2820"
"Dep_object_salaries","Taux d'atteinte de l'objectif d'entrées de salariés","Objectifs","Sert à comparer un résultat à un objectif de pilotage. Le résultat est cumulé depuis le début de l'année.","False","1064"
"% Dép objectif dette loc YTD","Taux d'atteinte de l'objectif dette locataires cumulé annuel","Objectifs","Sert à comparer un résultat à un objectif de pilotage. Le résultat est cumulé depuis le début de l'année.","False","1002"
"% Dép obj vacance logement","Taux d'atteinte de l'objectif vacance logements","Objectifs","Sert à comparer un résultat à un objectif de pilotage. Le résultat est cumulé depuis le début de l'année.","False","998"
"Variation de Ratio intéressement vac fi com par xAgence","Variation du ratio d'intéressement vacance financière par agence","Objectifs","Sert à comparer un résultat à un objectif de pilotage.","False","1100"
"Cible entrées salariés","Cible entrées salariés","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation.","False","3331"
"Entrées YTD","Entrées cumulées annuelles historiques","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires. Le résultat est cumulé depuis le début de l'année.","False","585"
"Entrées salariés","Entrées de salariés","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires.","False","985"
"Entrées salariés YTD","Entrées de salariés cumulées annuelles","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires. Le résultat est cumulé depuis le début de l'année.","False","969"
"Entrées en 2025","Entrées en 2025","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires. Le résultat est cumulé depuis le début de l'année.","False","3921"
"# Entrées LOC YTD","Entrées locataires cumulées annuelles","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires. La comparaison se fait avec la même période de l'année précédente.","False","3570"
"Mobilité N-1","Mobilité année précédente","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation. La comparaison se fait avec la même période de l'année précédente.","False","3545"
"Mobilité YTD","Mobilité cumul annuel","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation. Le résultat est cumulé depuis le début de l'année.","False","631"
"Mobilité YTD new","Mobilité cumulée annuelle","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation. La comparaison se fait avec la même période de l'année précédente.","False","3555"
"Mobilité m-1","Mobilité du mois précédent","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation. La comparaison se fait avec le mois précédent.","False","4048"
"Mobilité mensuelle","Mobilité mensuelle","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation.","False","635"
"Mobilité 12m","Mobilité sur douze mois","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation.","False","2812"
"Mobilité 1a N-1","Mobilité sur douze mois année précédente","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation. La comparaison se fait avec la même période de l'année précédente.","False","4043"
"Mobilité 1a","Mobilité sur un an","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation.","False","3550"
"Mutation","Mutation","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires.","False","2734"
"Mutations YTD","Mutations cumul annuel","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires. Le résultat est cumulé depuis le début de l'année.","False","2738"
"# Mutations YTD","Mutations cumulées annuelles","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires. La comparaison se fait avec la même période de l'année précédente.","False","3560"
"# Sorties","Nombre de sorties","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires.","False","419"
"# Entrées","Nombre d'entrées","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires.","False","414"
"# Entrées YTD","Nombre d'entrées cumulées annuelles","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires. La comparaison se fait avec la même période de l'année précédente.","False","3565"
"# Entrées Salariés YTD","Nombre d'entrées de salariés cumulées annuelles","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires. La comparaison se fait avec la même période de l'année précédente.","False","3575"
"Sorties YTD","Sorties cumul annuel","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires. La comparaison se fait avec la même période de l'année précédente.","False","3447"
"Sorties_YTD","Sorties cumulées annuelles","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires. Le résultat est cumulé depuis le début de l'année.","False","616"
"Sorties_12M","Sorties sur douze mois","Occupation et mobilité","Compte les entrées, sorties ou mouvements des locataires.","False","855"
"Tx de mutation YTD","Taux de mutation cumul annuel","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation. Le résultat est cumulé depuis le début de l'année.","False","2757"
"% Entrées Salariés YTD","Taux Entrées Salariés cumul annuel","Occupation et mobilité","Mesure la part ou le rythme des mouvements d'occupation. Le résultat est cumulé depuis le début de l'année.","False","671"
"Age","Age","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","1898"
"GH","GH","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","1842"
"Indice de densité urbaine","Indice de densité urbaine","Patrimoine","Suit un indicateur descriptif du patrimoine.","False","3852"
"Livraisons cumulées","Livraisons cumulées","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion. La comparaison se fait avec la même période de l'année précédente.","False","446"
"Logements","Logements","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","1692"
"# Bâtiments","Nombre de bâtiments","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3765"
"# Commerces","Nombre de commerces","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","581"
"# Commerces m-1","Nombre de commerces du mois précédent","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion. La comparaison se fait avec le mois précédent.","False","1936"
"# Commerces 2024","Nombre de commerces en 2024","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","1700"
"# Commerces vacants","Nombre de commerces vacants","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","1953"
"# CA principaux","Nombre de contrats principaux","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","2767"
"Nb LIBRE","Nombre de LIBRE","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3088"
"# Livraisons M","Nombre de livraisons logements mensuelles","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","1877"
"# Livraisons mensuelles","Nombre de livraisons mensuelles","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","24"
"Nb LLS","Nombre de LLS","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3296"
"Nb LLTS","Nombre de LLTS","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3157"
"# Logements","Nombre de logements","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","577"
"# Collectifs","Nombre de logements collectifs","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3907"
"# Logements m-1","Nombre de logements du mois précédent","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion. La comparaison se fait avec le mois précédent.","False","1978"
"# Logements et commerces contractés","Nombre de logements et commerces contractés","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3895"
"# Individuels","Nombre de logements individuels","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3903"
"# Logements Vacants","Nombre de logements vacants","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","67"
"# Loges","Nombre de loges","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","1084"
"Nb PLI","Nombre de PLI","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3192"
"Nb PSLA","Nombre de PSLA","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3261"
"Nb T1","Nombre de T1","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","2918"
"Nb T2","Nombre de T2","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","2952"
"Nb T3","Nombre de T3","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","2986"
"Nb T4","Nombre de T4","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3020"
"Nb T5+","Nombre de T5 et plus","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","3054"
"Nb d'étages","Nombre d'étages","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","2903"
"# UG","Nombre d'UG","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","20"
"# UG Vacants VVO","Nombre d'UG vacantes volontaires","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","1650"
"Prix m²","Prix mensuel²","Patrimoine","Suit un indicateur descriptif du patrimoine.","False","1893"
"% Commerces","Taux Commerces","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","2830"
"% Logements","Taux Logements","Patrimoine","Compte des éléments du patrimoine comme les logements, commerces, bâtiments ou unités de gestion.","False","810"
"Couleur dette","Couleur de la dette","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. Le résultat est cumulé depuis le début de l'année.","False","4083"
"Couleur vacance","Couleur de la vacance","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. Le résultat est cumulé depuis le début de l'année.","False","4068"
"Couleur salariés","Couleur des entrées de salariés","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. Le résultat est cumulé depuis le début de l'année.","False","4053"
"Narratif HTML","Narratif HTML","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. La comparaison se fait avec la même période de l'année précédente.","False","4098"
"SousTitre HTML Détail impayé","Sous-titre HTML détail impayé","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. La comparaison se fait avec la même période de l'année précédente.","False","4281"
"SousTitre HTML Détail vacance","Sous-titre HTML détail vacance","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. La comparaison se fait avec la même période de l'année précédente.","False","4257"
"SousTitre HTML Flux d'occupation","Sous-titre HTML flux d'occupation","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. La comparaison se fait avec la même période de l'année précédente.","False","4305"
"SousTitre HTML Patrimoine","Sous-titre HTML patrimoine","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. La comparaison se fait avec la même période de l'année précédente.","False","4233"
"SousTitre HTML Quittancement et impayé","Sous-titre HTML quittancement et impayé","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. La comparaison se fait avec la même période de l'année précédente.","False","4329"
"SousTitre HTML Vacance financière logements","Sous-titre HTML vacance financière logements","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. La comparaison se fait avec la même période de l'année précédente.","False","4353"
"SousTitre HTML Vacance physique logements","Sous-titre HTML vacance physique logements","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. La comparaison se fait avec la même période de l'année précédente.","False","4377"
