"Model","File","OldName","NewName","Folder","Description","Candidate","Line"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","% Croissance annuelle","Taux de croissance annuel","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. Le résultat est cumulé depuis le début de l'année.","False","1128"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","% Croissance annuelle Dette","Taux de croissance annuelle de la dette","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. Le résultat est cumulé depuis le début de l'année.","False","2334"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","% croissance_soldem_ca_operation_+_uniquement positif","Taux de croissance de la dette positive","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","1296"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","% Croissance dette M","Taux de croissance mensuelle de la dette","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","2327"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","% croissance_soldem_ca_operation_+","Taux de variation de la dette positive","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","104"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Croissance annuelle Dette","Variation annuelle de la dette","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. Le résultat est cumulé depuis le début de l'année.","False","2046"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","CroissanceSoldem_CA_Operation_YTD","Variation de dette cumulée annuelle","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. Le résultat est cumulé depuis le début de l'année.","False","139"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Croissance Dette","Variation mensuelle de la dette","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. La comparaison se fait avec le mois précédent.","False","2065"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Croissance soldem_ca_operation","Variation mensuelle de la dette historique","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","121"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","CumulQuittancementsAnnuel","Cumul Quittancements Annuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","701"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Encaissement + alloc","Encaissement avec allocations","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","412"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Encaissement + AL","Encaissement avec allocations logement","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1079"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Encaissements + AL cumulés","Encaissements avec allocations logement cumulés","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1022"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Quittancement M-1","Montant Quittancement mois précédent","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","2492"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","NbCA_AL","Nombre de contrats avec allocation logement","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","388"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Nombre de ménages AL","Nombre de ménages AL","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","642"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Quittancé YTD m1","Quittancé cumul annuel mois précédent","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","1251"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Quittancement","Quittancement","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","2035"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Quittancement YTD","Quittancement cumulé annuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec la même période de l'année précédente.","False","2041"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","CumulQuitm_CA_Operation_YTD","Quittancement cumulé annuel historique","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. Le résultat est cumulé depuis le début de l'année.","False","144"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Quittancement hors AL (M-1)","Quittancement hors AL (mois précédent)","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","1146"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Quittancement YTD Logement","Quittancement logements cumulé annuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec la même période de l'année précédente.","False","2176"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Quittancement logements et commerces YTD","Quittancement logements et commerces cumulé annuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec la même période de l'année précédente.","False","2437"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Quittancement logements et commerces M","Quittancement logements et commerces mensuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","2432"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Quittancement Logements M","Quittancement logements mensuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","2188"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Quitm_ca_operation","Quittancement mensuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","127"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Quittancement_m1_Crediteurs","Quittancement mois précédent Crediteurs","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","1235"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Quittancement_m1_Débiteurs","Quittancement mois précédent Débiteurs","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","1230"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Quittancement_m1_Soldés","Quittancement mois précédent Soldés","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","1240"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Quittancement_m1_Total","Quittancement mois précédent Total","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","1245"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Quittancement_m1_Total_Cumule_Annuel","Quittancement mois précédent Total Cumule Annuel","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","1261"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Règlements","Règlements","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","741"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Règlements HPP","Règlements hors passages en perte","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","1140"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Règlements HPP M-12","Règlements hors passages en perte douze mois avant","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","1158"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Règlements HPP M-1","Règlements hors passages en perte mois précédent","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations. La comparaison se fait avec le mois précédent.","False","1152"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Règlements locataires","Règlements locataires","Encaissement et quittancement","Additionne les montants facturés, encaissés ou liés aux allocations.","False","1134"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Tx Croissance M-12 (%)","Taux de croissance douze mois avant","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec le mois précédent.","False","1170"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Tx Croissance M-1 (%)","Taux de croissance du mois précédent","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec le mois précédent.","False","1164"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux Règlements HPP CB M","Taux de règlements CB mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1224"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux Règlements HPP Espèces M","Taux de règlements en espèces mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1194"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux Règlements HPP IBAN M","Taux de règlements IBAN mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1200"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux Règlements HPP Chèque M","Taux de règlements par chèque mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1218"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux Règlements HPP Prélèvements M","Taux de règlements par prélèvement mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1206"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux Règlements HPP Virements M","Taux de règlements par virement mensuel hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1212"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux d'encaissement YTD DTP Corrigé","Taux d'encaissement cumul annuel DTP Corrigé","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. Le résultat est cumulé depuis le début de l'année.","False","1272"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux Encaissement YTD","Taux d'encaissement cumulé annuel","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. Le résultat est cumulé depuis le début de l'année.","False","2052"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","% Taux Encaissement YTD LY","Taux d'encaissement cumulé annuel année précédente","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec la même période de l'année précédente.","False","2078"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","tx encaissement YTD","Taux d'encaissement cumulé annuel historique","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. Le résultat est cumulé depuis le début de l'année.","False","150"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Tx Encaissement hpp soldes_ca_operation","Taux d'encaissement hors passages en perte","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","133"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","% Taux Encaissement Mensuel","Taux d'encaissement mensuel","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","2071"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","% Taux Encaissement Mensuel LY","Taux d'encaissement mensuel année précédente","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec la même période de l'année précédente.","False","2085"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux d'encaissement mensuel DTP Corrigé","Taux d'encaissement mensuel DTP Corrigé","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1278"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Tx Encaissement YTD N-1","Taux Encaissement cumul annuel année précédente","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. La comparaison se fait avec la même période de l'année précédente.","False","625"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","tx encaissement YTD recalculé","Taux encaissement cumul annuel recalculé","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. Le résultat est cumulé depuis le début de l'année.","False","707"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux RALI YTD","Taux RALI cumul annuel","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues. Le résultat est cumulé depuis le début de l'année.","False","1290"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Taux RALI mensuel","Taux RALI mensuel","Encaissement et quittancement","Suit la part des sommes encaissées par rapport aux sommes attendues.","False","1284"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Cible agréments","Cible agréments","Indicateurs généraux","Indique une proportion simple à interpréter.","False","2714"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Cible mises en chantiers","Cible mises en chantiers","Indicateurs généraux","Indique une proportion simple à interpréter.","False","2668"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Indécence_mano","Indécence mano","Indicateurs généraux","Additionne des montants ou des valeurs.","False","1691"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Mesure 4 2","Mesure 4 2","Indicateurs généraux","Indicateur métier utilisé pour le pilotage.","False","1507"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Mesure 5 2","Mesure 5 2","Indicateurs généraux","Indicateur métier utilisé pour le pilotage.","False","1835"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Mesure 6 2","Mesure 6 2","Indicateurs généraux","Indicateur métier utilisé pour le pilotage.","False","2796"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Mesure 8","Mesure 8","Indicateurs généraux","Indicateur métier utilisé pour le pilotage.","False","2414"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Mesure 9","Mesure 9","Indicateurs généraux","Indicateur métier utilisé pour le pilotage.","False","2685"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Nombre agréments en cours","Nombre agréments en cours","Indicateurs généraux","Compte un nombre d'éléments distincts.","False","2688"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Réel MEC cumulé I","Réel MEC cumulé I","Indicateurs généraux","Indique une proportion simple à interpréter.","False","2837"
